Feature,Importance
uv_index,0.25651616
season,0.18839449
pressure_in,0.17423095
latitude,0.12707472
humidity,0.028567605
weekofyear,0.028456002
gust_kph,0.022315808
longitude,0.021825967
month,0.017365957
year,0.017200472
hour,0.014198907
air_quality_Nitrogen_dioxide,0.012384499
last_updated_epoch,0.010471738
air_quality_Sulphur_dioxide,0.010466493
cloud,0.010422428
visibility_km,0.007779547
air_quality_PM10,0.007256212
air_quality_PM2.5,0.0069301883
wind_mph,0.006421476
air_quality_Carbon_Monoxide,0.0044351337
wind_degree,0.00398616
air_quality_Ozone,0.0036334638
gust_mph,0.0035433676
precip_mm,0.0034830174
pressure_mb,0.0033238633
day,0.0030367372
air_quality_gb-defra-index,0.002411076
moon_illumination,0.0015111786
air_quality_us-epa-index,0.0015001992
day_of_week,0.00060966355
precip_in,0.00024656224
visibility_miles,0.0
wind_kph,0.0
